Province,Dsitrict,ADM2_CODE,Summary06,Horse06,Cattle06,Camel06,Sheep06,Goat06,Summary02,Horse02,Cattle02,Camel02,Sheep02,Goat02,Summary99,Horse99,Cattle99,Camel99,Sheep99,Goat99,Summary96,Horse96,Cattle96,Camel96,Sheep96,Goat96,Summary92,Horse92,Cattle92,Camel92,Sheep92,Goat92
Zavkhan,Aldarkhaan,MN8104,166.08,7.27,7.98,0.53,67.38,82.93,110.65,6.93,5.92,0.57,46.85,50.38,156.22,11.62,16.39,0.64,71.86,55.71,149.22,12.14,16.32,0.6,70.04,50.13,147.63,11.95,13.73,0.87,89.62,31.47
Zavkhan,Asgat,MN8107,31.36,1.3,1.29,0.02,15.5,13.25,17.41,1.28,0.68,0.02,9.55,5.89,22.95,2.16,1.86,0.04,12.38,6.51,27.3,2.38,2.9,0.01,14.85,7.15,29.69,1.88,2.83,0.01,20.26,4.72
Zavkhan,Bayankhairkhan,MN8113,83.89,2.98,3.42,0.03,48.21,29.25,51.19,2.49,1.65,0.06,31.26,15.73,73.29,5.74,5.67,0.14,43.69,18.05,81.25,6.5,8.21,0.14,49.45,16.95,64.54,4.85,6.25,0.09,44.92,8.43
Zavkhan,Bayantes,MN8110,114.4,2.88,3.43,0.19,51.93,55.96,66.34,2.21,2.21,0.19,32.14,29.59,61.09,3.16,3.68,0.26,28.12,25.87,86.38,6.08,7.51,0.44,39.86,32.5,79.09,4.96,6.79,0.29,47.67,19.37
Zavkhan,Durvuljin,MN8116,127.07,5.72,1.99,1.15,50.81,67.4,85.23,4.25,1.04,1.12,34.02,44.81,152.89,8.02,4.77,1.94,58.94,79.21,157.22,8.38,5.63,1.98,60.92,80.32,128.68,7.13,3.33,2.81,60.9,54.51
Zavkhan,Erdenekhairkhan,MN8167,118.51,3.66,3.19,0.29,71.13,40.24,64.03,2.76,1.85,0.38,38.97,20.07,120.96,7.38,7.56,0.7,75.17,30.16,130.09,7.53,8.34,0.73,80.37,33.13,100.41,5.32,5.27,0.5,70.08,19.24
Zavkhan,Ider,MN8122,93.04,3.93,6.9,0.04,43.33,38.83,43.3,3.83,3.85,0.06,20.05,15.52,91.28,8.48,18.78,0.16,45.75,18.11,71.89,6.94,14.23,0.15,37.5,13.08,68.96,5.64,11.64,0.05,43.97,7.66
Zavkhan,Ikh-Uul,MN8125,118.19,6.42,15.91,0.08,54.53,41.25,66.66,7.79,14.87,0.07,29.1,14.84,126.92,15.47,33.4,0.12,55.14,22.8,129.14,15.31,32.81,0.17,59.06,21.78,103.39,9.75,22.38,0.15,59.03,12.09
Zavkhan,Numrug,MN8128,80.02,4.65,4.04,0.06,41.69,29.58,29.15,3.36,1.51,0.06,15.03,9.2,87.31,11.65,11.99,0.16,49.14,14.37,82.7,10.81,10.46,0.23,49.63,11.57,61.02,6.73,6.7,0.07,43.75,3.78
Zavkhan,Otgon,MN8131,158.8,10.36,13.85,0.55,79.09,54.95,92.95,9.13,11.2,0.69,43.96,27.96,137.08,12.18,19.43,0.89,68.58,36,116.64,10.89,15.83,0.88,59.26,29.77,94.94,6.5,13.34,0.55,60.22,14.33
Zavkhan,Santmargats,MN8134,150.07,6.07,3.73,0.5,84.27,55.5,89.36,3.66,2.22,0.48,49.41,33.59,111.2,6.31,7.16,0.68,59.41,37.64,107.2,7.12,7.43,0.52,58.45,33.68,86.35,4.5,4.91,0.67,58.61,17.66
Zavkhan,Shiluustei,MN8164,94.26,4.6,4.69,0.49,46.44,38.05,55,3.35,2.65,0.53,28.86,19.6,92.25,7.38,8.74,0.84,48.82,26.47,89.69,7.39,8.84,0.82,48.26,24.38,79.65,5.63,6.49,0.4,53.56,13.58
Zavkhan,Songino,MN8137,115.04,4.09,3.36,0.07,69.26,38.27,60.27,2.53,1.49,0.04,37.62,18.59,94.41,6.61,9.17,0.06,59.73,18.85,104.74,8.82,11.25,0.06,66.62,18,96.07,7.37,6.78,0.13,71.2,10.59
Zavkhan,Telmen,MN8146,111.59,7.12,6.2,0.32,60.2,37.74,54.54,6.42,2.89,0.46,29.32,15.45,134.12,14.48,16.12,0.73,77.7,25.09,113.49,12.55,12.66,0.6,68.5,19.19,91.5,8.93,8.37,0.22,65.3,8.68
Zavkhan,Tes,MN8149,92.2,4.18,3.59,0.09,42.03,42.31,61.65,3.36,1.97,0.08,29.79,26.45,60.53,3.81,3.55,0.13,28.49,24.55,76.87,5.16,6.43,0.2,37.69,27.39,73.6,3.95,5.93,0.14,48.13,15.45
Zavkhan,Tosontsengel,MN8140,116.5,6.9,14.23,0.03,46.13,49.22,52.76,7.02,9.66,0.03,19.38,16.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zavkhan,Tsagaanchuluut,MN8158,99.21,5.52,4.91,0.49,47.26,41.02,64.14,4.65,3.64,0.62,30.38,24.85,94.58,7.17,8.34,0.78,49.38,28.91,97.45,8.62,9.73,0.78,50.5,27.83,87.03,6.68,6.68,1.43,56.84,15.41
Zavkhan,Tsagaankhairkhan,MN8155,75.86,3.09,4.31,0.02,33.88,34.56,50.27,3.19,3.78,0.05,23.43,19.82,71.67,4.73,9.12,0.05,37.2,20.57,70.91,5.42,10,0.05,36.94,18.51,59.87,4.1,6.11,0.32,41.64,7.7
Zavkhan,Tsetsen-Uul,MN8161,111.07,3.26,3.28,0.36,60.02,44.16,60.89,2.15,1.62,0.34,34.09,22.7,112.79,5.54,9.31,0.54,66.01,31.38,120.11,6.28,9.62,0.6,74.46,29.15,100.32,4.79,5.98,0.62,73.17,15.75
Zavkhan,Tudevtei,MN8143,87.69,4.32,3.4,0.02,47.6,32.36,33.87,2.63,1.09,0.02,19.51,10.62,78.29,8.82,10.27,0.05,45.48,13.67,78.28,8.71,10.5,0.08,47.89,11.1,71.77,6.1,6.55,0.16,54.56,4.41
Zavkhan,Uliastai,MN8101,91.3,1.67,4.24,0.03,35.5,49.86,52.63,1.47,2.83,0.03,21.76,26.54,79.32,2.39,8.92,0.01,41.68,26.31,113.98,4.31,12.73,0.03,63.39,33.52,73.51,3.44,7.91,0.02,48.98,13.16
Zavkhan,Urgamal,MN8152,107.97,4.17,2.35,0.88,47.47,53.1,59.33,2.45,1.21,0.7,26.92,28.05,97.61,5.33,4.03,0.99,45.25,42.01,103.12,5.92,4.11,1.06,48.3,43.73,84.38,5.97,2.34,1.54,49,25.53
Zavkhan,Yaruu,MN8170,93.47,4.58,4.02,0.15,52.11,32.62,43.8,3.21,1.71,0.22,25.84,12.82,130.6,11.35,16.54,0.51,80.71,21.5,139,11.56,15.9,0.51,89.93,21.11,118,8.04,9.92,0.16,89.71,10.17
Zavkhan,Zavkhanmandal,MN8119,113.21,4.5,2.94,0.21,55.71,49.86,77.84,3.34,1.6,0.23,37.72,34.94,105.14,5.75,4.98,0.38,53.08,40.94,94.8,6.38,5.38,0.42,44.61,38.02,76.9,5.28,3.87,0.31,43.12,24.33
Govi-Altai,Altai,MN8204,88.64,2.59,0.91,2.81,17.07,65.25,58.28,2.07,0.5,2.49,13.02,40.21,87.02,3.71,2.04,3.21,26.57,51.5,78.08,3.65,2.09,3.35,25.65,43.35,66.28,3.04,2.29,3.92,29.01,28.03
Govi-Altai,Bayan-Uul,MN8207,162.54,6.36,3.26,1.43,60.57,90.93,68.71,3,1.38,0.99,27.78,35.55,161.5,10.11,5.81,2.01,71.59,71.98,149.22,10.4,8.23,2.06,65.62,62.92,126.98,7.87,6.17,2.54,69.83,40.57
Govi-Altai,Biger,MN8210,87.28,2.86,3.04,1.34,21.03,59.01,46.11,1.64,1.27,1.17,12,30.03,79.1,3.71,3.95,2.44,25.63,43.37,100.6,4.64,5.04,3.13,36.45,51.33,85.84,3.59,3.82,4.05,40.19,34.2
Govi-Altai,Bugat,MN8213,136.71,3.08,1.54,1.43,56.69,73.97,92.77,2.8,0.97,1.57,39.69,47.74,110.04,4.38,2.06,2.05,50.1,51.45,120.98,5.31,3.09,2.41,58.53,51.64,123.9,3.7,2.54,2.66,84.93,30.07
Govi-Altai,Chandmani,MN8246,78.03,2,1.1,0.51,23.23,51.2,26.56,0.76,0.31,0.4,9.19,15.9,83.83,3.96,2.68,0.72,36.43,40.04,86.3,3.93,2.88,0.76,39.66,39.06,70.92,2.92,2.84,0.64,43.02,21.5
Govi-Altai,Dariv,MN8216,152.42,3.87,2.01,1.02,53.94,91.58,58.46,1.7,0.63,0.77,19.68,35.68,112.45,5.24,2.82,1.44,47.11,55.83,111.83,5.68,4.95,1.61,45.67,53.91,97.88,3.38,3.94,1.49,53.31,35.77
Govi-Altai,Delger,MN8219,131.55,3.47,1.51,0.95,45.61,80.01,45.98,1.92,0.52,0.8,17.52,25.22,131.14,6.4,3.2,1.45,57.02,63.07,136.79,6.83,4.74,1.58,59.83,63.81,122.32,5.39,3.67,1.45,72.21,39.6
Govi-Altai,Erdene,MN8252,115.94,1.46,0.91,1.47,25.9,86.2,45.18,0.67,0.27,1.16,11.68,31.41,111.06,4.66,3.17,2,39.22,62.02,100.12,4.05,3.06,2.2,34.64,56.18,75.13,2.76,2.21,1.78,35.75,32.63
Govi-Altai,Jargalan,MN8222,141.6,5.3,4.41,0.57,56.57,74.76,76.06,3.43,2.67,0.56,30.55,38.85,115.11,7.73,7.65,0.81,47.37,51.55,105.91,7.44,8.58,0.9,44.23,44.77,88.17,6.78,6.43,1.41,44.43,29.11
Govi-Altai,Khaliun,MN8234,135.6,4.37,2.33,2.3,37.83,88.77,56.08,2.02,1.05,1.95,16.9,34.16,139.59,7.56,6.74,2.59,60.13,62.58,126.9,7.16,7.08,2.49,56.8,53.38,108.42,5.32,4.79,2.78,62.97,32.56
Govi-Altai,Khokhmorit,MN8237,78.01,4.28,1.81,1.71,26.24,43.97,22.53,2.01,0.64,1.09,8.22,10.56,82.32,6.33,3.16,2.1,38.37,32.37,95.6,7.19,4.52,2.25,47.53,34.12,71.45,5.48,2.91,2.21,42.66,18.18
Govi-Altai,Sharga,MN8249,112.75,3.94,3.22,3.05,22.51,80.03,52.71,2.23,1.71,2.56,12.69,33.52,113.22,5.22,5.16,3.21,38.88,60.75,104.85,5.64,6.18,3.26,38.6,51.17,95.88,4.32,5.95,4.68,48.46,32.47
Govi-Altai,Taishir,MN8225,69.8,3.08,2.29,0.39,23.92,40.13,29.5,1.74,1.09,0.4,11.2,15.07,73.35,5.52,5.03,0.65,34.88,27.27,68.24,5.81,5.87,0.68,34.49,21.4,109.04,7.32,7.01,1.05,72.83,20.83
Govi-Altai,Togrog,MN8231,98.79,2.47,0.89,2.5,30.65,62.29,45.88,1.43,0.33,2.14,16.45,25.53,90.49,4.41,2.01,2.51,36.18,45.38,110.96,5.26,3.98,3.18,47.01,51.54,101.65,3.55,3.61,4.74,56.23,33.52
Govi-Altai,Tonkhil,MN8228,196.24,4.99,1.76,0.68,97.8,91.01,114.11,4.03,0.92,0.82,61.97,46.36,139.52,6.61,3.4,1.36,79.31,48.85,169.51,8.2,6.37,1.76,100.48,52.71,139.64,5.95,4.54,1.56,98.69,28.91
Govi-Altai,Tseel,MN8243,141.81,2.77,1.15,1.25,28.86,107.78,61.69,1.27,0.32,1.33,14.81,43.96,139.2,5.69,3.33,2.37,53.96,73.86,132.91,5.32,3.98,2.86,53.1,67.67,111.4,4.09,2.86,2.66,57.96,43.84
Govi-Altai,Tsogt,MN8240,157.32,2.52,3.29,2.15,43.36,106,68.02,1.25,1.22,1.7,20.74,43.11,180.75,4.8,6.7,2.92,65.24,101.08,172.21,5.09,7.83,3.41,64.81,91.06,135.07,3.77,6.99,3.63,58.11,62.56
Govi-Altai,Yesunbulag,MN8201,114.13,3.22,2.12,0.46,31.14,77.2,41.92,1.1,0.76,0.39,13.53,26.14,163.51,7.43,10.24,0.63,59.1,86.12,116.2,6.06,7.43,0.72,56.51,45.48,45.29,1.89,3.85,0.06,23.74,15.75
Bayan-Olgii,Altai,MN8304,89.51,5.34,8.08,0.32,42.27,33.49,82.9,5.48,8.73,0.47,40.34,27.88,79.77,6.06,10.41,0.63,38.97,23.71,81.16,5.77,10.35,0.56,42.01,22.48,62.03,4.05,6.4,0.42,39.85,11.31
Bayan-Olgii,Altantsugts,MN8307,86.97,4.06,3.93,0.36,32.76,45.86,66.83,3.28,3.25,0.49,26.5,33.31,70.02,4.39,4.51,0.52,29.58,31.01,74.57,4.56,5.63,0.55,35.64,28.19,55.34,3.4,4.28,0.89,31.43,15.35
Bayan-Olgii,Bayannuur,MN8310,126.47,5.59,5.42,0.47,38.21,76.77,101.55,4.1,3.62,0.43,32.66,60.74,96.66,4.54,3.21,0.49,33.24,55.18,105.78,5.62,5.4,0.55,37.84,56.37,76.72,4.68,4.45,0.65,29.6,37.34
Bayan-Olgii,Bugat,MN8313,83.85,3.6,4.82,0.05,35.1,40.27,62.35,3.05,3.69,0.13,28.95,26.54,78.65,4.84,6.49,0.23,41.37,25.72,84.55,5.47,7.94,0.24,47.83,23.07,50.77,3.52,4.12,0.18,33.12,9.83
Bayan-Olgii,Bulgan,MN8316,117.21,5.7,7.1,0.65,31.86,71.91,111.85,6.61,7.36,0.93,34.37,62.59,100.1,7.03,7.83,1.13,33.14,50.97,103.59,7.26,8.86,1.11,38.43,47.93,96.47,6.45,7.45,0.9,44.19,37.49
Bayan-Olgii,Buyant,MN8319,78.91,2.8,5.95,0.16,40.96,29.04,61.95,2.77,5.58,0.21,33.73,19.66,72.07,4.29,8.51,0.32,38.94,20.01,81.56,5.43,11.68,0.35,44.72,19.38,58.23,3.91,6.94,0.21,37.17,10.01
Bayan-Olgii,Deluun,MN8322,184.75,7.83,13.58,0.26,71.16,91.92,167.44,8.55,13.63,0.42,71.85,73,203.05,11.49,21.52,0.65,92.23,77.16,206.56,11.62,21.67,0.74,97.08,75.46,137.96,8.8,12.76,0.62,78.5,37.29
Bayan-Olgii,Nogoonnuur,MN8325,140.34,5.2,5.47,0.31,53.5,75.87,112.37,4.87,4.82,0.41,46.77,55.5,116.38,6.18,6.64,0.56,52.74,50.27,116.64,6.8,7.73,0.63,58.32,43.16,103.61,6.28,6.39,0.81,65.59,24.54
Bayan-Olgii,Olgii,MN8301,13.52,0.5,2.43,0.03,3.36,7.21,11.3,0.31,2.52,0,2.56,5.91,12.24,0.5,1.9,0,4.91,4.94,14.72,0.57,2.83,0.01,6.32,4.99,20.21,1.26,5.56,0.02,7.87,5.51
Bayan-Olgii,Sagsai,MN8328,109.41,5.18,6.15,0.35,49.82,47.91,82.79,5.3,6.16,0.51,40.08,30.73,90.51,6.01,6.57,0.62,47.58,29.74,94.34,6.35,7.57,0.61,51.64,28.17,66.36,4.67,4.48,0.45,42.58,14.18
Bayan-Olgii,Tolbo,MN8331,96.29,3.08,5.79,0.09,50.11,37.21,85.05,3.45,5.64,0.14,46.66,29.15,94.17,4.88,8.47,0.23,53.63,26.96,106.68,5.77,10.7,0.29,61.26,28.65,69.98,4.31,6.19,0.21,45.56,13.71
Bayan-Olgii,Tsengel,MN8340,170.72,6.41,9.73,0.53,70.07,83.98,151.7,6.7,9.87,0.88,64.27,69.98,180.41,9.29,12.54,1.45,83.84,73.29,169.29,9.07,12.89,1.59,81.58,64.16,118.07,7.41,7.67,1.26,69.96,31.79
Bayan-Olgii,Ulaankhus,MN8334,156.93,6.21,9.83,0.67,75.73,64.48,124.69,5.89,8.91,0.84,65.34,43.71,153.69,9.44,14.18,1.16,85.74,43.18,145.88,9.17,13.51,1.17,85.85,36.19,105.82,7.14,7.98,1,72.06,17.64
Khovd,Altai,MN8404,148.32,5.62,5.27,1.07,52.55,83.81,95.4,4.22,3.69,1.14,37.85,48.51,99.47,5.82,7.05,1.42,40.5,44.68,101.75,5.9,7.79,1.62,43.31,43.14,97.45,5.02,7.18,2.26,50.93,32.06
Khovd,Bulgan,MN8407,210.58,9.63,13.75,2.33,44.15,140.73,152.94,9.14,12.12,2.55,38.46,90.67,120.17,8.59,11.72,2.81,32.09,64.95,144.13,10.77,13.39,2.86,47.15,69.96,143.26,9.53,12.62,2.76,62.1,56.26
Khovd,Buyant,MN8410,117.46,5.89,8.78,0.19,34.99,67.61,61.69,4.33,5.96,0.33,20.57,30.5,96.03,7.19,11.51,0.45,38.18,38.71,92.27,7.58,11.23,0.42,38.35,34.68,70.35,6.65,8.1,0.44,37.31,17.85
Khovd,Chandmani,MN8446,206.06,6.49,8.27,1.83,89.07,100.4,81.22,3.12,3.59,1.49,36.39,36.63,174.4,9.43,13.6,2.11,84.84,64.44,142.64,9.1,14.15,1.93,66.84,50.62,117.93,6.84,8.83,1.93,68.35,31.98
Khovd,Darvi,MN8413,120.55,3.83,2.32,0.65,58.51,55.25,53.45,1.91,0.82,0.66,26.63,23.44,118.33,8.07,6.89,1.14,62.56,39.66,106.97,7.63,7.86,1.23,55.91,34.34,92.64,5.71,4.41,1.08,63.37,18.07
Khovd,Durgun,MN8416,91.1,4.19,2.95,2.5,15.95,65.51,41.22,2.34,1.47,1.81,7.42,28.18,91.82,4.13,3.58,3.03,24.29,56.79,76.66,3.95,3.55,2.78,21.14,45.25,64.14,3.49,2.69,2.71,25.1,30.15
Khovd,Duut,MN8419,98.58,1.98,5.36,0.13,36.45,54.67,54.79,2.25,4.07,0.23,23,25.24,73.53,3.72,10.39,0.3,30.92,28.21,83.14,4.42,13.15,0.41,33.09,32.07,73.45,3.67,8.97,0.53,37.46,22.82
Khovd,Erdeneburen,MN8449,151.08,7.33,4.03,1.04,65.08,73.6,86.31,4.73,2.56,0.98,39.35,38.69,113.07,8.47,7.8,1.22,53.32,42.27,129.05,9.5,10.12,1.3,61.2,46.93,106.27,6.63,6.23,0.96,60.53,31.93
Khovd,Jargalant,MN8401,63.59,2.15,3.54,0.07,18.86,38.96,28.3,1.44,2.57,0.07,8.42,15.79,53.13,2.38,6.1,0.11,21.14,23.4,88.52,3.6,10.82,0.11,38.03,35.95,69.43,3.23,9.02,0.1,34.79,22.3
Khovd,Khovd,MN8440,129.7,4.17,4.87,0.51,34.44,85.7,102.58,4.86,3.64,0.88,34.17,59.03,117.85,6.08,7.26,1.12,41.65,61.74,111.33,6.29,8.28,1.08,39.6,56.08,79.02,4.65,5.57,0.91,32.97,34.93
Khovd,Mankhan,MN8425,210.12,5.85,5.25,2.23,73.38,123.41,100.8,2.78,2.19,1.87,39.48,54.48,187.63,7.81,8.21,3.78,76.83,91.01,192.27,7.71,8.92,5.19,78.6,91.86,163.6,6.56,7.28,5.35,82.3,62.11
Khovd,Munkhkhairkhan,MN8428,89.56,2.18,5.77,0.22,40.46,40.93,67.98,2.35,5.38,0.28,31.96,28.01,82.67,3.35,8.36,0.45,38.95,31.56,97.7,4.37,13.58,0.6,46.06,33.09,90.46,3.69,9.17,0.54,54.65,22.4
Khovd,Must,MN8431,141.61,4.85,9.36,0.58,64.29,62.53,84.41,3.95,6.35,0.6,41.93,31.58,116.44,7.38,13.18,1.36,58.49,36.04,144.02,9.67,17.86,1.98,71.9,42.6,125.56,7.77,12.92,2.07,72.98,29.81
Khovd,Myangad,MN8434,150.62,6.98,9.43,0.74,54.6,78.88,80.73,4.72,6,0.69,31.68,37.64,114.58,8.25,13.44,0.97,48.19,43.74,130.43,9.97,16.07,1.24,55.95,47.21,101.98,6.58,10.26,1.1,57.48,26.56
Khovd,Tsetseg,MN8443,116.75,4.6,4.45,0.71,49.66,57.33,82.3,3.45,4.26,0.69,37.81,36.1,93.12,4.61,6.46,0.89,46.44,34.72,98.07,4.47,7.37,0.91,49.71,35.63,87.52,3.36,5.03,0.98,54.46,23.68
Khovd,Uyench,MN8437,121.32,4.62,6.33,1.25,42.14,66.98,94.79,4.87,5.32,1.36,37.42,45.82,104.55,5.72,6.91,1.65,43.08,47.19,114.46,6,7.48,1.86,52.74,46.38,112.51,5.12,6.39,2.44,62.93,35.64
Khovd,Zereg,MN8422,126.81,5.01,5.52,1.57,44.03,70.69,55.02,2.69,2.45,1.14,20.42,28.32,111.14,6.64,8.57,2.16,46.92,46.84,101.5,6.26,8.23,2.16,41.81,43.04,92.99,5.11,6.68,2.19,48.36,30.66
Uvs,Baruunturuun,MN8504,42.97,3.64,4.46,0.04,15.61,19.22,21.97,2.76,2.62,0.04,8.37,8.19,50.04,4,8.45,0.08,26.42,11.08,52.81,4.65,9.38,0.04,31.27,7.46,43.94,3.64,7.46,0.02,30.67,2.16
Uvs,Bukhmurun,MN8507,80.2,2.33,4,0.07,32.48,41.31,56.19,2.15,3.35,0.11,24.34,26.23,71.09,3.66,5.52,0.2,34.08,27.63,64.15,4.62,5.99,0.37,29.54,23.62,62.43,5.18,4.95,0.62,37.41,14.28
Uvs,Davst,MN8510,81.26,0.97,4.27,0.17,37.8,38.05,44.93,0.64,3.22,0.14,21.02,19.9,40.52,0.91,4.13,0.21,19.63,15.64,41.29,1.67,4.89,0.27,19.12,15.35,43.39,3.4,4.18,0.54,25.34,9.94
Uvs,Khovd,MN8549,96,3.48,4.68,0.81,27.82,59.21,50.59,2.27,2.74,0.6,16.48,28.49,85.06,4.4,6.59,0.87,34.47,38.73,81.9,4.85,6.78,0.96,35.14,34.17,75.84,6.16,6.36,1.68,39.65,22
Uvs,Khyargas,MN8552,147.56,4.66,4.61,0.5,80.53,57.26,96.13,3.58,2.66,0.5,56.28,33.11,100.47,7.02,8.23,0.72,57.4,27.1,101.42,7.19,9.09,0.81,60.1,24.23,93.04,6.87,6.34,0.99,62.23,16.62
Uvs,Malchin,MN8522,130.42,4.35,5.07,0.6,69.39,51.01,99.44,3.92,3.69,0.74,56.01,35.08,116.78,7.45,8.53,1.12,65.73,33.95,118.45,7.85,10.61,1.26,70.37,28.36,93.9,5.9,7.25,1.54,65.08,14.13
Uvs,Naranbulag,MN8525,174.93,5.44,4.59,2.49,83.62,78.79,120.88,3.95,3.14,2.25,60.05,51.5,134.09,7.1,5.42,2.69,66.44,52.44,119.56,7.19,7.09,2.73,58.36,44.19,101.57,5.88,5.42,2.8,57.53,29.94
Uvs,Olgii,MN8528,99.64,2.62,2.46,1.24,37.32,56,52.11,1.49,1.07,1.02,19.89,28.64,117.4,5.53,3.71,1.67,55.76,50.73,111.71,6.25,5.71,1.85,51.75,46.15,88.42,4.74,3.96,1.86,48.63,29.24
Uvs,Omnogovi,MN8531,160.09,4.66,5.76,0.95,76.56,72.16,83.21,2.98,3.14,0.86,41.03,35.21,123.93,7.04,6.81,1.28,66.41,42.39,130.61,8.01,9.54,1.55,70.57,40.95,118.92,7.14,6.83,1.51,77.22,26.23
Uvs,Ondorkhangai,MN8534,159.04,7.4,7.94,0.37,73.53,69.81,87.58,5.77,4.24,0.6,42.09,34.89,130.33,12.58,16.46,1.23,60.63,39.43,102.09,11.01,13.3,1.21,48.38,28.19,90.83,10.16,9.78,1.33,54.54,15.02
Uvs,Sagil,MN8537,144.62,2.81,6.58,0.18,69.65,65.4,86.77,1.92,4.48,0.25,43.19,36.94,73.45,2.87,6.63,0.4,37.39,26.17,80.21,4.24,8.76,0.64,41.4,25.18,72.56,4.34,6.62,0.78,43.98,16.85
